gene_id,Product Description ,,FC DOZI/WT,Confidence,PF ID,PF Product Description,Manual Annotation,CITH,DOZI,DOZI/CITH in mosquito and liver stages,,Molecular Function,Biological Process,Cellular Component,Molecular Function,Biological Process,Cellular Component
PBANKA_135900,"sec61 alpha subunit, putative",,,,PF3D7_1346100,"Sec61 alpha subunit, PfSec61 (SEC61)",trafficking,1,1,2,na,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,protein transport,membrane,,,
PBANKA_030690,"Sec61-gamma subunit of protein translocation complex, putative",,-3.5,0.75,PF3D7_0210000,secretory complex protein 61 gamma subunit (Sec61-gamma),trafficking,1,1,2,na,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,protein targeting,membrane,,,
PBANKA_052350,"clathrin assembly protein, putative",,,,PF3D7_0423100,"clathrin assembly protein, putative",trafficking,1,1,2,na,"protein binding, protein transporter activity","intracellular protein transport, vesicle-mediated transport",membrane coat,,,
PBANKA_143230,cell traversal protein for ookinetes and sporozoites (CelTOS),,,,PF3D7_1216600,cell traversal protein for ookinetes and sporozoites (CelTOS),adhesin,1,1,2,"different in fertilization, ookinete, oocyst, sporozoite and liver stage",null,null,microneme,,,
PBANKA_060710,"tim10 homologue, putative",,,,PF3D7_1208600,"tim10 homologue, putative",trafficking,1,1,2,na,null,protein import into mitochondrial inner membrane,mitochondrial intermembrane space protein transporter complex,,,
PBANKA_110260,"zinc binding protein, putative",,,,PF3D7_0502900,"mitochondrial inner membrane TIM10 associated protein, putative",trafficking,1,1,2,na,null,protein import into mitochondrial inner membrane,mitochondrial intermembrane space protein transporter complex,,,
PBANKA_082880,"cytochrome c oxidase, putative",,,,PF3D7_0928000.1/2,"cytochrome c oxidase, putative",redoxmeth,1,1,2,na,cytochrome-c oxidase activity,null,mitochondrion,,,
PBANKA_135570,myosin A (MyoA),,-4.46,0.75,PF3D7_1342600,myosin A (MyoA),gliding motility,1,1,2,"(mutated) different in fertilization, ookinete, oocyst and sporozoite","ATP binding, motor activity",null,myosin complex,,,
PBANKA_144940,"Splicing factor 3B subunit 3, putative (SF3B3)",,,,PF3D7_1234800,"Splicing factor 3B subunit 3, putative (SF3B3)",mRNA,1,1,2,na,nucleic acid binding,null,nucleus,,,
PBANKA_090590,transcription factor with AP2 domain(s) (AP2-O),,-3.76,0.75,PF3D7_1143100,transcription factor with AP2 domain(s) (AP2-O),transcription,1,1,2,"different in fertilization, ookinete, oocyst and sporozoite",sequence-specific DNA binding transcription factor activity,"regulation of transcription, DNA-dependent",nucleus,,,
PBANKA_092880,"U2 snRNP auxiliary factor, small subunit, putative",,,,PF3D7_1119300,"U2 snRNP auxiliary factor, small subunit, putative",mRNA,1,1,2,na,"RNA binding, zinc ion binding",null,nucleus,,,
PBANKA_130820,"1-acyl-sn-glycerol-3-phosphate acyltransferase, putative (LPAAT)",,,,PF3D7_1444300,"apicoplast 1-acyl-sn-glycerol-3-phosphate acyltransferase, putative",fatty acids synth,1,1,2,KO not successful,"transferase activity, transferring acyl groups",metabolic process,null,,,
PBANKA_100210,6-cysteine protein (P36),,-2.55,0.73,PF3D7_0404400 6-cysteine protein (P36),,adhesin,1,1,2,different in liver stage,null,null,null,null,null,null
PBANKA_100260,6-cysteine protein (P41),,,,PF3D7_0404900 6-cysteine protein (P41),,adhesin,1,1,2,not different from wild type,null,null,null,null,null,null
PBANKA_145330,"acyl-CoA synthetase, putative",,-2.63,0.75,"PF3D7_1238800 acyl-CoA synthetase, PfACS11 (ACS11)",,lipid metabolism,1,1,2,na,catalytic activity,metabolic process,null,,,
PBANKA_122560,"alpha/beta hydrolase, putative",,-1.96,0.73,"PF3D7_0805000 alpha/beta hydrolase, putative",,chaperone,1,1,2,na,null,null,null,null,null,apicoplast
PBANKA_121690,"ATP-dependent RNA helicase, putative",,,,"PF3D7_0321600 ATP-dependent RNA helicase, putative",,mRNA,1,1,2,na,"ATP binding, ATP-dependent helicase activity, helicase activity, nucleic acid binding",null,null,,,
PBANKA_041570,"autophagy-related protein 3, putative (ATG3)",,-1.86,0.72,"PF3D7_0905700.1/2/3 autophagy-related protein 3, putative (ATG3)",,autophagy,1,1,2,na,null,null,null,null,null,null
PBANKA_090040,BIR protein,,,,,,BIR protein,1,1,2,na,null,null,null,na,na,na
PBANKA_146520,BIR protein,,,,,,BIR protein,1,1,2,na,null,null,null,,,
PBANKA_021500,"BIR protein, pseudogene",,,,,,BIR protein,1,1,2,na,null,null,null,na,na,na
PBANKA_060620,"blood stage antigen 41-3 precursor, putative",,-5.88,0.75,PF3D7_1207700 blood stage antigen 41-3 precursor,,,1,1,2,na,null,null,null,null,null,null
PBANKA_141110,"branched-chain alpha keto-acid dehydrogenase, putative",,,,"PF3D7_1312600 branched-chain alpha keto-acid dehydrogenase, putative",,TCA,1,1,2,na,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",metabolic process,null,,,
PBANKA_081590,"BSD domain, putative",,,,"PF3D7_0914900 BSD domain, putative",,transcription,1,1,2,na,null,null,null,null,null,null
PBANKA_102440,"calmodulin, putative",,-2.14,0.75,"PF3D7_1418300 calmodulin, putative",,Ca2+ binding,1,1,2,na,null,null,null,calcium ion binding,null,null
PBANKA_113320,cdc2-related kinase 2 (CRK2),,,,PF3D7_1356900 protein kinase 5 (PK5),,kinase,1,1,2,different in liver stage,"ATP binding, protein serine/threonine kinase activity, protein tyrosine kinase activity",protein phosphorylation,null,,,
PBANKA_124400,"cell cycle regulator protein, putative",,,,"PF3D7_0529500 cell cycle regulator protein, putative",,RNA binding,1,1,2,na,RNA binding,null,null,,,
PBANKA_112190,"chorismate synthase, putative (CS)",,,,PF3D7_0623000 chorismate synthase (CS),,shikimate,1,1,2,na,chorismate synthase activity,aromatic amino acid family biosynthetic process,null,,,
PBANKA_041290,circumsporozoite- and TRAP-related protein (CTRP),,,,PF3D7_0315200 circumsporozoite- and TRAP-related protein (CTRP),,adhesin,1,1,2,"different in fertilization, ookinete and oocyst",null,null,null,null,null,null
PBANKA_123520,"conserved Plasmodium protein, unknown function",,,,"PF3D7_0520400 conserved Plasmodium protein, unknown function",,unknown function,1,1,2,na,DNA binding,"regulation of transcription, DNA-dependent",null,,,
PBANKA_030580,"conserved Plasmodium protein, unknown function",,,,"PF3D7_0208700.1/2 conserved Plasmodium protein, unknown function",,unknown function,1,1,2,na,DNA-directed RNA polymerase activity,"transcription, DNA-dependent",null,,,
PBANKA_020360,"conserved Plasmodium protein, unknown function",,-6.26,0.75,"PF3D7_0110000 conserved Plasmodium protein, unknown function",,unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_030160,"conserved Plasmodium protein, unknown function",,-5.31,0.75,"PF3D7_0203800 conserved Plasmodium protein, unknown function",,phototransduction pathway,1,1,2,na,null,null,null,null,null,null
PBANKA_030660,"conserved Plasmodium protein, unknown function",,-2.39,0.74,"PF3D7_0209500 conserved Plasmodium protein, unknown function",,unknown function,1,1,2,na,null,null,null,"GTP binding, GTPase activity, translation initiation factor activity","translation, translational initiation","cytoplasm, intracellular"
PBANKA_031070,"conserved Plasmodium protein, unknown function",,,,"PF3D7_0213800 conserved Plasmodium protein, unknown function",,unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_031210,"conserved Plasmodium protein, unknown function",,,,"PF3D7_0215400 conserved Plasmodium protein, unknown function",,unknown function,1,1,2,na,null,null,null,null,null,membrane
PBANKA_031480,"conserved Plasmodium protein, unknown function",,,,"PF3D7_0218100 conserved Plasmodium membrane protein, unknown function",,unknown function,1,1,2,na,null,null,null,"hydrolase activity, metal ion binding, nucleotide binding",transport,integral to membrane
PBANKA_031490,"conserved Plasmodium protein, unknown function",,,,"PF3D7_0218200 conserved Plasmodium protein, unknown function",,unknown function,1,1,2,na,null,null,null,rRNA (guanine-N1-)-methyltransferase activity,ribosomal large subunit assembly,apicoplast
PBANKA_040250,"conserved Plasmodium protein, unknown function",,-4.21,0.75,"PF3D7_0303900 conserved Plasmodium protein, unknown function",,unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_041720,"conserved Plasmodium protein, unknown function",,-3.16,0.75,"PF3D7_0904200 conserved Plasmodium protein, unknown function",,unknown function,1,1,2,na,null,null,null,null,null,"apicoplast, membrane"
PBANKA_050520,"conserved Plasmodium protein, unknown function",,,,"PF3D7_1021000 conserved Plasmodium protein, unknown function",,unknown function,1,1,2,na,null,null,null,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity,translation,null
PBANKA_050610,"conserved Plasmodium protein, unknown function",,,,,,proteasome,1,1,2,na,null,null,null,na,na,na
PBANKA_050750,"conserved Plasmodium protein, unknown function",,-1.77,0.7,"PF3D7_1023300 conserved Plasmodium protein, unknown function",,unknown function,1,1,2,na,null,null,null,null,null,membrane
PBANKA_051300,"conserved Plasmodium protein, unknown function",,,,PF3D7_1028900,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,membrane
PBANKA_052110,"conserved Plasmodium protein, unknown function",,,,PF3D7_1038200,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_060330,"conserved Plasmodium protein, unknown function",,,,PF3D7_1204400,"conserved Plasmodium membrane protein, unknown function",unknown function,1,1,2,na,null,null,null,na,na,na
PBANKA_061240,"conserved Plasmodium protein, unknown function",,-4.07,0.75,PF3D7_0411000,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,"apicoplast, integral to membrane, membrane"
PBANKA_061780,"conserved Plasmodium protein, unknown function",,-2.09,0.75,PF3D7_0720300,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_062030,"conserved Plasmodium protein, unknown function",,-4.34,0.75,PF3D7_0722800,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_062040,"conserved Plasmodium protein, unknown function",,-3.41,0.75,PF3D7_0722900,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_070330,"conserved Plasmodium protein, unknown function",,-3.25,0.75,PF3D7_0827400,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,cytoplasm
PBANKA_070490,"conserved Plasmodium protein, unknown function",,,,PF3D7_0825700,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_071220,"conserved Plasmodium protein, unknown function",,-2.64,0.75,PF3D7_0818600,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,"different in oocyst, sporozoite and liver stage",null,null,null,hydrolase activity,null,membrane
PBANKA_072090,"conserved Plasmodium protein, unknown function",,-4.34,0.75,PF3D7_0418800,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,"cytoplasm, membrane"
PBANKA_080290,"conserved Plasmodium protein, unknown function",,,,PF3D7_0705200,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_080380,"conserved Plasmodium protein, unknown function",,,,PF3D7_0706200,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_081330,"conserved Plasmodium protein, unknown function",,-3.35,0.75,PF3D7_0912200,"conserved Plasmodium membrane protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,"integral to membrane, membrane"
PBANKA_081540,"conserved Plasmodium protein, unknown function",,-5.12,0.75,PF3D7_0914400,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,nucleotide binding,null,cytoplasm
PBANKA_082120,"conserved Plasmodium protein, unknown function",,,,PF3D7_0920300,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,cytoplasm
PBANKA_082320,"conserved Plasmodium protein, unknown function",,-3.1,0.73,PF3D7_0922300,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_082590,"conserved Plasmodium protein, unknown function",,,,PF3D7_0925100,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,"integral to membrane, membrane"
PBANKA_082740,"conserved Plasmodium protein, unknown function",,-4.21,0.75,PF3D7_0926600,"conserved Plasmodium membrane protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,"integral to membrane, membrane"
PBANKA_083280,"conserved Plasmodium protein, unknown function",,,,PF3D7_0932000,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,"integral to membrane, membrane"
PBANKA_083470,"conserved Plasmodium protein, unknown function",,,,PF3D7_0933900,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,"ATP binding, DNA-directed DNA polymerase activity, RNA binding, aspartic-type endopeptidase activity, magnesium ion binding, nucleotidyltransferase activity, peptidase activity, ribonuclease H activity, zinc ion binding","DNA integration, DNA recombination, proteolysis, transposition","cytoplasm, nucleus"
PBANKA_090170,"conserved Plasmodium protein, unknown function",,,,PF3D7_1147400,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,"protein farnesyltransferase activity, zinc ion binding",protein farnesylation,protein farnesyltransferase complex
PBANKA_090300,"conserved Plasmodium protein, unknown function",,,,PF3D7_1146100,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,membrane
PBANKA_090620,"conserved Plasmodium protein, unknown function",,,,PF3D7_1142800,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_090780,"conserved Plasmodium protein, unknown function",,-1.93,0.73,PF3D7_1141200,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,transferase activity,null,"cytoplasm, membrane"
PBANKA_091320,"conserved Plasmodium protein, unknown function",,,,PF3D7_1135300,"conserved Plasmodium membrane protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,integral to membrane
PBANKA_091670,"conserved Plasmodium protein, unknown function",,-3.42,0.75,PF3D7_1131500,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,"ATP binding, hydrolase activity",null,cytoplasm
PBANKA_093260,"conserved Plasmodium protein, unknown function",,,,PF3D7_1115100,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_100170,"conserved Plasmodium protein, unknown function",,,,PF3D7_0404200,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null,null,null
PBANKA_100190,"conserved Plasmodium protein, unknown function",,,,,,unknown function,1,1,2,na,null,null,null,null,null,membrane
PBANKA_102680,"conserved Plasmodium protein, unknown function",,,,PF3D7_1415900,"conserved Plasmodium protein, unknown function",nucleic acid binding,1,1,2,na,null,null,null,zinc ion binding,null,nucleus
PBANKA_103300,"conserved Plasmodium protein, unknown function",,,,PF3D7_1409400,"conserved Plasmodium membrane protein, unknown function",unknown function,1,1,2,na,null,null,null,na na,,na
PBANKA_103880,"conserved Plasmodium protein, unknown function",,,,PF3D7_1403200,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,"extracellular region, membrane"
PBANKA_110410,"conserved Plasmodium protein, unknown function",,-8.06,0.75,PF3D7_0504500,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null attachment of GPI anchor to protein,,cytoplasm
PBANKA_110600,"conserved Plasmodium protein, unknown function",,,,PF3D7_0506400,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,null
PBANKA_110930,"conserved Plasmodium protein, unknown function",,-3.59,0.75,PF3D7_0509700,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,apicoplast
PBANKA_110990,"conserved Plasmodium protein, unknown function",,-2.15,0.73,PF3D7_0510300,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,cytoplasm
PBANKA_111020,"conserved Plasmodium protein, unknown function",,-4.6,0.75,PF3D7_0510700,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,null
PBANKA_111270,"conserved Plasmodium protein, unknown function",,,,PF3D7_0513000,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,null
PBANKA_111500,"conserved Plasmodium protein, unknown function",,-3.83,0.75,PF3D7_0515400,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,null
PBANKA_112590,"conserved Plasmodium protein, unknown function",,-2.28,0.75,,,unknown function,1,1,2,na,null,null,null,na na,,na
PBANKA_113230,"conserved Plasmodium protein, unknown function",,,,PF3D7_1356000,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,"ATP binding, hydrolase activity null",,null
PBANKA_113580,"conserved Plasmodium protein, unknown function",,,,PF3D7_1359500,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,null
PBANKA_113740,"conserved Plasmodium protein, unknown function",,,,PF3D7_1361300,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,membrane
PBANKA_113860,"conserved Plasmodium protein, unknown function",,-4.57,0.73,PF3D7_1362600,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,null
PBANKA_114380,"conserved Plasmodium protein, unknown function",,-4.19,0.75,PF3D7_1367900,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,"apicoplast, membrane"
PBANKA_120450,"conserved Plasmodium protein, unknown function",,,,PF3D7_1006300,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,null
PBANKA_120930,"conserved Plasmodium protein, unknown function",,,,PF3D7_1010900,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,"ATP binding, protein kinase activity protein phosphorylation",,"Golgi apparatus, cytoplasm, cytoplasmic vesicle, membrane"
PBANKA_121440,"conserved Plasmodium protein, unknown function",,-3.47,0.75,PF3D7_1016000,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,"ATP binding, protein binding null",,"cytoplasm, plasma membrane"
PBANKA_122530,"conserved Plasmodium protein, unknown function",,-2.93,0.72,PF3D7_0805300,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,"N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity, zinc ion binding null",,"intracellular, plasma membrane"
PBANKA_122550,"conserved Plasmodium protein, unknown function",,-2.7,0.73,PF3D7_0805100,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,null
PBANKA_122750,"conserved Plasmodium protein, unknown function",,,,PF3D7_0802700,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,null
PBANKA_122990,"conserved Plasmodium protein, unknown function",,-2.38,0.72,PF3D7_0615200,"conserved Plasmodium protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,null
PBANKA_123900,"conserved Plasmodium protein, unknown function",,,,PF3D7_0524200,"conserved Plasmodium membrane protein, unknown function",unknown function,1,1,2,na,null,null,null,null null,,"integral to membrane, membrane"
